Stock Number,Model Number,Additional Descriptions
1003869,DS-90-1250T-R400,"This is a complete tube bender die set, including forming die, counter die, and hook sleeve for 1-1/4"" Round tube die set with a 4 Inch Center line Radius for making 90 degree bends on the RDB-050 only.  The center line radius for this pipe bender set is based on .083 wall thickness. Order these pipe bender dies for sale today."
1003875,DS-90-1500T-R500,"This is a complete die set, including forming die, counter die, and hook sleeve for 1-1/2"" Round tube die set with a 5 Inch Center line Radius for makeing 90 dergree bends on the RDB-050 only.  Center line radius is based on .083 wall thickness."
1003880,DS-90-1750T-R600,"This is a complete die set, including forming die, counter die, and hook sleeve for 1-3/4"" Round tube die set with a 6 Inch Center line Radius for makeing 90 dergree bends on the RDB-050 only.  RDB-050 tube die set center line radius is based on .095 wall thickness."
1003883,DS-90-2000T-R600,"This is a complete die set, including forming die, counter die, and hook sleeve for 2"" Round tube die set with a 6 Inch Center line Radius for makeing 90 dergree bends on the RDB-050 only.  Center line radius is based on .109"" wall thickness."
1003886,DS-90-2500T-R700,"This is a complete die set, including forming die, counter die, and hook sleeve for 2-1/2"" Round tube die set with a 7 Inch Center line Radius for makeing 90 dergree bends on the RDB-050 only.  Center line radius is based on .120"" wall thickness."
1011051,IDX-Digital Upgrade,"What is the perfect complement to any Index Table?  A dgital readout of course.  This kit includes all of the nessesary components to add a digital readout to your 10' index table.  The DRO will read the length between the bends and the rotation of the chuck.  The DRO is mounted to the top side of the chuck, making it the ideal place to read your positions from the control console.
 
Digital readout kits are available for other lengths of index tables as well, for more information, please contact Baileigh Industrial."
1013923,MB4X2-10,"The MB4X2-10 is the 10' non-indexing extension table for the MB-4X2 mandrel bender.  This table is 10' in length and made exclusivly to help in bending square or rectangle profiles. 
The MB4X2-10 includes all mounting hardware, mandrel rod, hoses as well as all hydraulic connection hardware.
Please note that this table will only work on the MB-4X2 mandrel bender."
1013924,MB4X2-20,"The MB4X2-20 is the 20' non-indexing extension table for the MB-4X2 mandrel bender.  This table is 20' in length and made exclusively to help in bending square or rectangle profiles. 
The MB4X2-20 includes all mounting hardware, mandrel rod, hoses as well as all hydraulic connection hardware.
Please note that this table will only work on the MB-4X2 mandrel bender."
1015369,DS-2000T-R700-TR,"2"" Round tube die set with a 7 Inch Center line Radius. Fits on all Baileigh Industrial rotary draw benders that accept drop on tooling (Not RDB-050). Center line radius is based on .109"" wall thickness.

*Designated tube by blue color
*1018 billet steel forming die
*Replaceable / Consumable counter die inserts for counter die block
*Welded / Bolted open side hook arm, for easy tube insertion and removal
*Nonproprietary spindle bore
*Optional Roller assemblies for special applications
*Optional hardened 4140 billet dies for production heavy wall bending, and production stainless bending
*Metric Sizing available at request"
1015448,AD-20120KSHD,"This 20"" 120 Grit Adhesive Backed Abrasive Disc is a perfect replacement disc for model DG-500
Every Baileigh Industrial abrasive disc uses a strong resin bond system for longer life and more value. This system is designed to provide superior performance on all applications, including both ferrous and non ferrous alloys.
Baileigh Industrial carrys many more styles and grits of abrasives, please contact a Baileigh sales represetative at 920-684-4990 to ge the abrasive that right for your application."
1017965,DM10-14SS-3,"This 10"" stainless steel wire wheel is a perfect upgrade for your DM-10.  Stainless steel is known to last longer and corrode less them its steel counter parts.
Baileigh Industrial carrys many more styles of wire wheels, please contact a Baileigh sales represetative at 920-684-4990 to ge the abrasive that right for your application."
1017996,,"GREAT FOR LIMITED WORK AREAS AND TIGHT SPACES
Made from hot-cast polyurethane formula, Baileigh Industrial soft face slimline hammers are great for sheet metal work, parts and trim assembly and installation, and tighter spaces.

 
BUILT TO LAST— Baileigh hammers deliver long-lasting performance in a wide range of uses. If you need a hammer for anything other than driving a nail, Baileigh has the tool you need.

*Steel Cannister welded to rod–more strength and safety
*Shot-Filled Cannister absorbs shock while maximizing power at impact
*Convex Faces provide maximum dead-blow, non-bounce action
*Polyurethane Coating formula prevents mushrooming, splitting and chipping for long-lasting use
*Textured Grip provides  sure-handed service – no slips, less fatigue 
*Steel Core provides strength and long- lasting durability – up to 20 times longer than other hammers

Call 920-684-4990 for more information today!"
1017997,,"GREAT FOR LIMITED WORK AREAS AND TIGHT SPACES
Made from hot-cast polyurethane formula, Baileigh Industrial soft face slimline hammers are great for sheet metal work, parts and trim assembly and installation, and tighter spaces. Add this 18 oz polyurethane hammer to your cart today.

 
BUILT TO LAST— This soft face dead blow hammer delivers long-lasting performance in a wide range of uses. If you need a hammer for anything other than driving a nail, Baileigh has the tool you need.

*Steel Cannister welded to rod–more strength and safety
*Shot-Filled Cannister absorbs shock while maximizing power at impact
*Convex Faces provide maximum dead-blow, non-bounce action
*Polyurethane Coating formula prevents mushrooming, splitting and chipping for long-lasting use
*Textured Grip provides  sure-handed service – no slips, less fatigue 
*Steel Core provides strength and long- lasting durability – up to 20 times longer than other hammers

Call 920-684-4990 for more information today!"
1017998,,"GREAT FOR LIMITED WORK AREAS AND TIGHT SPACES
Made from hot-cast polyurethane formula, Baileigh Industrial soft face slimline hammers are great for sheet metal work, parts and trim assembly and installation, and tighter spaces.

 
BUILT TO LAST— Baileigh hammers deliver long-lasting performance in a wide range of uses. If you need a hammer for anything other than driving a nail, Baileigh has the tool you need.

*Steel Cannister welded to rod–more strength and safety
*Shot-Filled Cannister absorbs shock while maximizing power at impact
*Convex Faces provide maximum dead-blow, non-bounce action
*Polyurethane Coating formula prevents mushrooming, splitting and chipping for long-lasting use
*Textured Grip provides  sure-handed service – no slips, less fatigue 
*Steel Core provides strength and long- lasting durability – up to 20 times longer than other hammers

Call 920-684-4990 for more information today!"
1017999,,"GREAT FOR LIMITED WORK AREAS AND TIGHT SPACES
Made from hot-cast polyurethane formula, Baileigh Industrial soft face slimline hammers are great for sheet metal work, parts and trim assembly and installation, and tighter spaces.

 
BUILT TO LAST— Baileigh hammers deliver long-lasting performance in a wide range of uses. If you need a hammer for anything other than driving a nail, Baileigh has the tool you need.

*Steel Cannister welded to rod–more strength and safety
*Shot-Filled Cannister absorbs shock while maximizing power at impact
*Convex Faces provide maximum dead-blow, non-bounce action
*Polyurethane Coating formula prevents mushrooming, splitting and chipping for long-lasting use
*Textured Grip provides  sure-handed service – no slips, less fatigue 
*Steel Core provides strength and long- lasting durability – up to 20 times longer than other hammers

Call 920-684-4990 for more information today!"
1018000,,"GREAT FOR LIMITED WORK AREAS AND TIGHT SPACES
Made from hot-cast polyurethane formula, Baileigh Industrial soft face slimline hammers are great for sheet metal work, parts and trim assembly and installation, and tighter spaces.

 
BUILT TO LAST— Baileigh hammers deliver long-lasting performance in a wide range of uses. If you need a hammer for anything other than driving a nail, Baileigh has the tool you need.

*Steel Cannister welded to rod–more strength and safety
*Shot-Filled Cannister absorbs shock while maximizing power at impact
*Convex Faces provide maximum dead-blow, non-bounce action
*Polyurethane Coating formula prevents mushrooming, splitting and chipping for long-lasting use
*Textured Grip provides  sure-handed service – no slips, less fatigue 
*Steel Core provides strength and long- lasting durability – up to 20 times longer than other hammers

Call 920-684-4990 for more information today!"
1018001,,"CUT YOUR WORK TIME WITH THE BEST HAMMERS IN THE BUSINESS
 With a contoured grip, balanced swing, and dead blow striking force, not to mention the durability of hot-cast urethane from our proprietary formula, Baileigh standard soft face hammers offer maximum power, reduced fatigue, and shorter work time. Whether used daily by the professional in their trade, or a few times a month by the DIY-er in the garage or around the house, these hammers are built to last and won’t let you down. Order this 13 oz hammer from Baileigh Industrial today.


 
BUILT TO LAST— Baileigh soft dead blow hammers deliver long-lasting performance in a wide range of uses. If you need a hammer for anything other than driving a nail, Baileigh has the tool you need.

*Steel Cannister welded to rod–more strength and safety
*Shot-Filled Cannister absorbs shock while maximizing power at impact
*Convex Faces provide maximum dead-blow, non-bounce action
*Polyurethane Coating formula prevents mushrooming, splitting and chipping for long-lasting use
*Textured Grip provides  sure-handed service – no slips, less fatigue 
*Steel Core provides strength and long- lasting durability – up to 20 times longer than other hammers


You may also like this 18 oz Hammer.

Call 920-684-4990 for more information today!"
1018002,,"CUT YOUR WORK TIME WITH THE BEST HAMMERS IN THE BUSINESS
 With a contoured grip, balanced swing, and dead blow striking force, not to mention the durability of hot-cast urethane from our proprietary formula, Baileigh standard soft face hammers offer maximum power, reduced fatigue, and shorter work time. Whether used daily by the professional in their trade, or a few times a month by the DIY-er in the garage or around the house, these hammers are built to last and won’t let you down.


 
BUILT TO LAST— Baileigh hammers deliver long-lasting performance in a wide range of uses. If you need a hammer for anything other than driving a nail, Baileigh has the tool you need.

*Steel Cannister welded to rod–more strength and safety
*Shot-Filled Cannister absorbs shock while maximizing power at impact
*Convex Faces provide maximum dead-blow, non-bounce action
*Polyurethane Coating formula prevents mushrooming, splitting and chipping for long-lasting use
*Textured Grip provides  sure-handed service – no slips, less fatigue 
*Steel Core provides strength and long- lasting durability – up to 20 times longer than other hammers

Call 920-684-4990 for more information today!"
1018003,,"CUT YOUR WORK TIME WITH THE BEST HAMMERS IN THE BUSINESS
 With a contoured grip, balanced swing, and dead blow striking force, not to mention the durability of hot-cast urethane from our proprietary formula, Baileigh standard soft face hammers offer maximum power, reduced fatigue, and shorter work time. Whether used daily by the professional in their trade, or a few times a month by the DIY-er in the garage or around the house, these hammers are built to last and won’t let you down.


 
BUILT TO LAST— Baileigh hammers deliver long-lasting performance in a wide range of uses. If you need a hammer for anything other than driving a nail, Baileigh has the tool you need.

*Steel Cannister welded to rod–more strength and safety
*Shot-Filled Cannister absorbs shock while maximizing power at impact
*Convex Faces provide maximum dead-blow, non-bounce action
*Polyurethane Coating formula prevents mushrooming, splitting and chipping for long-lasting use
*Textured Grip provides  sure-handed service – no slips, less fatigue 
*Steel Core provides strength and long- lasting durability – up to 20 times longer than other hammers

Call 920-684-4990 for more information today!"
1018004,,"CUT YOUR WORK TIME WITH THE BEST HAMMERS IN THE BUSINESS
 With a contoured grip, balanced swing, and dead blow striking force, not to mention the durability of hot-cast urethane from our proprietary formula, Baileigh standard soft face hammers offer maximum power, reduced fatigue, and shorter work time. Whether used daily by the professional in their trade, or a few times a month by the DIY-er in the garage or around the house, these hammers are built to last and won’t let you down.


 
BUILT TO LAST— Baileigh hammers deliver long-lasting performance in a wide range of uses. If you need a hammer for anything other than driving a nail, Baileigh has the tool you need.

*Steel Cannister welded to rod–more strength and safety
*Shot-Filled Cannister absorbs shock while maximizing power at impact
*Convex Faces provide maximum dead-blow, non-bounce action
*Polyurethane Coating formula prevents mushrooming, splitting and chipping for long-lasting use
*Textured Grip provides  sure-handed service – no slips, less fatigue 
*Steel Core provides strength and long- lasting durability – up to 20 times longer than other hammers

Call 920-684-4990 for more information today!"
1018005,,"CUT YOUR WORK TIME WITH THE BEST HAMMERS IN THE BUSINESS
 With a contoured grip, balanced swing, and dead blow striking force, not to mention the durability of hot-cast urethane from our proprietary formula, Baileigh standard soft face hammers offer maximum power, reduced fatigue, and shorter work time. Whether used daily by the professional in their trade, or a few times a month by the DIY-er in the garage or around the house, these hammers are built to last and won’t let you down.


 
BUILT TO LAST— Baileigh hammers deliver long-lasting performance in a wide range of uses. If you need a hammer for anything other than driving a nail, Baileigh has the tool you need.

*Steel Cannister welded to rod–more strength and safety
*Shot-Filled Cannister absorbs shock while maximizing power at impact
*Convex Faces provide maximum dead-blow, non-bounce action
*Polyurethane Coating formula prevents mushrooming, splitting and chipping for long-lasting use
*Textured Grip provides  sure-handed service – no slips, less fatigue 
*Steel Core provides strength and long- lasting durability – up to 20 times longer than other hammers

Call 920-684-4990 for more information today!"
1018006,,"ULTRA-STRONG DURABILITY AND ANTI-VIBRATION CONSTRUCTION
 Our soft face sledge hammers have welded steel handles and shot-filled canisters for maximum power with less striking effort. Polyurethane casting provides less bounce, reduced surface damage, and easier grip for a more balanced swing and accurate striking ability.



 
BUILT TO LAST— Baileigh hammers deliver long-lasting performance in a wide range of uses. If you need a hammer for anything other than driving a nail, Baileigh has the tool you need.

*Steel Cannister welded to rod–more strength and safety
*Shot-Filled Cannister absorbs shock while maximizing power at impact
*Convex Faces provide maximum dead-blow, non-bounce action
*Polyurethane Coating formula prevents mushrooming, splitting and chipping for long-lasting use
*Textured Grip provides  sure-handed service – no slips, less fatigue 
*Steel Core provides strength and long- lasting durability – up to 20 times longer than other hammers

Call 920-684-4990 for more information today!"
1018007,,"ULTRA-STRONG DURABILITY AND ANTI-VIBRATION CONSTRUCTION
 Our soft face sledge hammers have welded steel handles and shot-filled canisters for maximum power with less striking effort. Polyurethane casting provides less bounce, reduced surface damage, and easier grip for a more balanced swing and accurate striking ability.



 
BUILT TO LAST— Baileigh hammers deliver long-lasting performance in a wide range of uses. If you need a hammer for anything other than driving a nail, Baileigh has the tool you need.

*Steel Cannister welded to rod–more strength and safety
*Shot-Filled Cannister absorbs shock while maximizing power at impact
*Convex Faces provide maximum dead-blow, non-bounce action
*Polyurethane Coating formula prevents mushrooming, splitting and chipping for long-lasting use
*Textured Grip provides  sure-handed service – no slips, less fatigue 
*Steel Core provides strength and long- lasting durability – up to 20 times longer than other hammers

Call 920-684-4990 for more information today!"
1018008,,"ULTRA-STRONG DURABILITY AND ANTI-VIBRATION CONSTRUCTION
 Our soft face sledge hammers have welded steel handles and shot-filled canisters for maximum power with less striking effort. The polyurethane casting on this dead blow hammer provides less bounce, reduced surface damage, and easier grip for a more balanced swing and accurate striking ability.



 
BUILT TO LAST— Baileigh hammers deliver long-lasting performance in a wide range of uses. If you need a hammer for anything other than driving a nail, Baileigh has the tool you need.

*Steel Cannister welded to rod–more strength and safety
*Shot-Filled Cannister absorbs shock while maximizing power at impact
*Convex Faces provide maximum dead-blow, non-bounce action (no bounce hammer)
*Polyurethane Coating formula prevents mushrooming, splitting and chipping for long-lasting use
*Textured Grip provides  sure-handed service – no slips, less fatigue 
*Steel Core provides strength and long- lasting durability – up to 20 times longer than other hammers

Call 920-684-4990 for more information on this 9.5lb soft face sledge hammer today!"
1018009,,"ULTRA-STRONG DURABILITY AND ANTI-VIBRATION CONSTRUCTION
 Our soft face sledge hammers have welded steel handles and shot-filled canisters for maximum power with less striking effort. Polyurethane casting provides less bounce, reduced surface damage, and easier grip for a more balanced swing and accurate striking ability.



 
BUILT TO LAST— Baileigh dead blow sledge hammers deliver long-lasting performance in a wide range of uses. If you need a hammer for anything other than driving a nail, Baileigh has the tool you need.

*Steel Cannister welded to rod–more strength and safety
*Shot-Filled Cannister absorbs shock while maximizing power at impact
*Convex Faces provide maximum dead-blow, non-bounce action
*Polyurethane Coating formula prevents mushrooming, splitting and chipping for long-lasting use
*Textured Grip provides  sure-handed service – no slips, less fatigue 
*Steel Core provides strength and long- lasting durability – up to 20 times longer than other hammers

 Our soft face sledge hammers have welded steel handles and shot-filled canisters for maximum power with less striking effort. Polyurethane casting provides less bounce, reduced surface damage, and easier grip for a more balanced swing and accurate striking ability. Add this 10.5 lb soft sledge hammer to your cart today."
1018010,,"ULTRA-STRONG DURABILITY AND ANTI-VIBRATION CONSTRUCTION
 Our 12lb soft sledgehammers have welded steel handles and shot-filled canisters for maximum power with less striking effort. Polyurethane casting provides less bounce, reduced surface damage, and easier grip for a more balanced swing and accurate striking ability. Order this 12 lb dead blow sledge hammer from Baileigh Industrial.



 
BUILT TO LAST— Baileigh hammers deliver long-lasting performance in a wide range of uses. If you need a hammer for anything other than driving a nail, Baileigh has the tool you need.

*Steel Cannister welded to rod–more strength and safety
*Shot-Filled Cannister absorbs shock while maximizing power at impact
*Convex Faces provide maximum dead-blow, non-bounce action
*Polyurethane Coating formula prevents mushrooming, splitting and chipping for long-lasting use
*Textured Grip provides  sure-handed service – no slips, less fatigue 
*Steel Core provides strength and long- lasting durability – up to 20 times longer than other hammers

Questions about this anti-vibration sledgehammer? Call us at 1-920-684-4990 and talk to a Baileigh expert."
1018011,BH-63-BM1,"PROVEN TO CUT YOUR METAL SHAPING WORK TIME IN HALF

Baileigh Industrial's durable soft face bossing mallets will shape metal without leaving a mark. Polyurethane hot casting over a welded steel handle and shot-filled canister gives maximum striking power, providing no-bounce action. Experience less bounce and reduced fatigue with the best hammers — period.
BUILT TO LAST— Baileigh hammers deliver long-lasting performance in a wide range of uses. If you need a hammer for anything other than driving a nail, Baileigh has the tool you need.

*Steel Cannister welded to rod–more strength and safety
*Shot-Filled Cannister absorbs shock while maximizing power at impact
*Convex Faces provide maximum dead-blow, non-bounce action
*Polyurethane Coating formula prevents mushrooming, splitting and chipping for long-lasting use
*Textured Grip provides  sure-handed service – no slips, less fatigue 
*Steel Core provides strength and long- lasting durability – up to 20 times longer than other hammers

Call 920-684-4990 for more information today!"
1018012,BH-63-BM2,"PROVEN TO CUT YOUR METAL SHAPING WORK TIME IN HALF

Baileigh Industrial's durable soft face bossing mallets will shape metal without leaving a mark. Polyurethane hot casting over a welded steel handle and shot-filled canister gives this non-marking mallet maximum striking power, providing no-bounce action. Experience less bounce and reduced fatigue with the best hammers — period.
BUILT TO LAST— Baileigh hammers deliver long-lasting performance in a wide range of uses. If you need a hammer for anything other than driving a nail, Baileigh has the tool you need.

*Steel Cannister welded to rod–more strength and safety
*Shot-Filled Cannister absorbs shock while maximizing power at impact
*Convex Faces provide maximum dead-blow, non-bounce action
*Polyurethane Coating formula prevents mushrooming, splitting and chipping for long-lasting use
*Textured Grip provides  sure-handed service – no slips, less fatigue 
*Steel Core provides strength and long- lasting durability – up to 20 times longer than other hammers

Call 920-684-4990 for more information today!"
1018013,BH-63-BM3,"PROVEN TO CUT YOUR METAL SHAPING WORK TIME IN HALF

Baileigh Industrial's durable soft face bossing mallets will shape metal without leaving a mark. Polyurethane hot casting over a welded steel handle and shot-filled canister gives maximum striking power, providing no-bounce action. Experience less bounce and reduced fatigue with the best hammers — period.
BUILT TO LAST— Baileigh hammers deliver long-lasting performance in a wide range of uses. If you need a hammer for anything other than driving a nail, Baileigh has the tool you need.

*Steel Cannister welded to rod–more strength and safety
*Shot-Filled Cannister absorbs shock while maximizing power at impact
*Convex Faces provide maximum dead-blow, non-bounce action
*Polyurethane Coating formula prevents mushrooming, splitting and chipping for long-lasting use
*Textured Grip provides  sure-handed service – no slips, less fatigue 
*Steel Core provides strength and long- lasting durability – up to 20 times longer than other hammers

Call 920-684-4990 for more information today!"
1018014,,"ENGINEERED FOR MAXIMUM DURABILITY
Our ball peen hammers provide the same dead-blow durability and striking force as our other models, but have a steel face at each end for shaping, expanding, and setting roves and rivets — as well flattening, shaping, and removing dents from metal. Referred to in our shop as the ultimate machinist hammer, the Baileigh Industrial ball peen has been re-engineered with threadless construction to guarantee no reverberation due to impact, easier control, and less fatigue.




 
BUILT TO LAST— Baileigh hammers deliver long-lasting performance in a wide range of uses. If you need a hammer for anything other than driving a nail, Baileigh has the tool you need.

*Steel Cannister welded to rod–more strength and safety
*Shot-Filled Cannister absorbs shock while maximizing power at impact
*Convex Faces provide maximum dead-blow, non-bounce action
*Polyurethane Coating formula prevents mushrooming, splitting and chipping for long-lasting use
*Textured Grip provides  sure-handed service – no slips, less fatigue 
*Steel Core provides strength and long- lasting durability – up to 20 times longer than other hammers

Call 920-684-4990 for more information today!"
1018015,,"ENGINEERED FOR MAXIMUM DURABILITY
Our steel ball peen hammers provide the same dead-blow durability and striking force as our other models, but have a steel face at each end for shaping, expanding, and setting roves and rivets — as well flattening, shaping, and removing dents from metal. Referred to in our shop as the ultimate machinist hammer, the Baileigh Industrial ball peen has been re-engineered with threadless construction to guarantee no reverberation due to impact, easier control, and less fatigue.




 
BUILT TO LAST— Baileigh hammers for metal deliver long-lasting performance in a wide range of uses. If you need a hammer for anything other than driving a nail, Baileigh has the tool you need.

*Steel Cannister welded to rod–more strength and safety
*Shot-Filled Cannister absorbs shock while maximizing power at impact
*Convex Faces provide maximum dead-blow, non-bounce action
*Polyurethane Coating formula prevents mushrooming, splitting and chipping for long-lasting use
*Textured Grip provides  sure-handed service – no slips, less fatigue 
*Steel Core provides strength and long- lasting durability – up to 20 times longer than other hammers

Call 920-684-4990 for more information on this steel ball peen hammer for metal!"
1018016,,"ENGINEERED FOR MAXIMUM DURABILITY
Our ball peen hammers provide the same dead-blow durability and striking force as our other models, but have a steel face at each end for shaping, expanding, and setting roves and rivets — as well flattening, shaping, and removing dents from metal. Referred to in our shop as the ultimate machinist hammer, the Baileigh Industrial ball peen has been re-engineered with threadless construction to guarantee no reverberation due to impact, easier control, and less fatigue.




 
BUILT TO LAST— Baileigh hammers deliver long-lasting performance in a wide range of uses. If you need a hammer for anything other than driving a nail, Baileigh has the tool you need.

*Steel Cannister welded to rod–more strength and safety
*Shot-Filled Cannister absorbs shock while maximizing power at impact
*Convex Faces provide maximum dead-blow, non-bounce action
*Polyurethane Coating formula prevents mushrooming, splitting and chipping for long-lasting use
*Textured Grip provides  sure-handed service – no slips, less fatigue 
*Steel Core provides strength and long- lasting durability – up to 20 times longer than other hammers

Call 920-684-4990 for more information today!"
1018017,,"ENGINEERED FOR MAXIMUM DURABILITY
Our ball peen hammers provide the same dead-blow durability and striking force as our other models, but have a steel face at each end for shaping, expanding, and setting roves and rivets — as well flattening, shaping, and removing dents from metal. Referred to in our shop as the ultimate machinist hammer, the Baileigh Industrial ball peen has been re-engineered with threadless construction to guarantee no reverberation due to impact, easier control, and less fatigue.




 
BUILT TO LAST— Baileigh hammers deliver long-lasting performance in a wide range of uses. If you need a hammer for anything other than driving a nail, Baileigh has the tool you need.

*Steel Cannister welded to rod–more strength and safety
*Shot-Filled Cannister absorbs shock while maximizing power at impact
*Convex Faces provide maximum dead-blow, non-bounce action
*Polyurethane Coating formula prevents mushrooming, splitting and chipping for long-lasting use
*Textured Grip provides  sure-handed service – no slips, less fatigue 
*Steel Core provides strength and long- lasting durability – up to 20 times longer than other hammers

Call 920-684-4990 for more information today!"
1018019,,"ENGINEERED FOR MAXIMUM DURABILITY
Our ball peen hammers provide the same dead-blow durability and striking force as our other models, but have a steel face at each end for shaping, expanding, and setting roves and rivets — as well flattening, shaping, and removing dents from metal. Referred to in our shop as the ultimate machinist hammer, the Baileigh Industrial ball peen has been re-engineered with threadless construction to guarantee no reverberation due to impact, easier control, and less fatigue.




 
BUILT TO LAST— Baileigh hammers deliver long-lasting performance in a wide range of uses. If you need a hammer for anything other than driving a nail, Baileigh has the tool you need.

*Steel Cannister welded to rod–more strength and safety
*Shot-Filled Cannister absorbs shock while maximizing power at impact
*Convex Faces provide maximum dead-blow, non-bounce action
*Polyurethane Coating formula prevents mushrooming, splitting and chipping for long-lasting use
*Textured Grip provides  sure-handed service – no slips, less fatigue 
*Steel Core provides strength and long- lasting durability – up to 20 times longer than other hammers

Call 920-684-4990 for more information today!"
1018020,,"ENGINEERED FOR MAXIMUM DURABILITY
Our flat - flat hammers have all of the same technology as our ball peen hjammers but feature a flat face on both sides and provide the same dead-blow durability and striking force as our other models, but have a steel face at each end for shaping, expanding, and setting roves and rivets — as well flattening, shaping, and removing dents from metal. Referred to in our shop as the ultimate machinist hammer, the Baileigh Industrial ball peen has been re-engineered with threadless construction to guarantee no reverberation due to impact, easier control, and less fatigue.




 
BUILT TO LAST— Baileigh hammers deliver long-lasting performance in a wide range of uses. If you need a hammer for anything other than driving a nail, Baileigh has the tool you need.

*Steel Cannister welded to rod–more strength and safety
*Shot-Filled Cannister absorbs shock while maximizing power at impact
*Convex Faces provide maximum dead-blow, non-bounce action
*Polyurethane Coating formula prevents mushrooming, splitting and chipping for long-lasting use
*Textured Grip provides  sure-handed service – no slips, less fatigue 
*Steel Core provides strength and long- lasting durability – up to 20 times longer than other hammers

Call 920-684-4990 for more information today!"
1018021,,"ENGINEERED FOR MAXIMUM DURABILITY
Our flat - flat hammers have all of the same technology as our ball peen hjammers but feature a flat face on both sides and provide the same dead-blow durability and striking force as our other models, but have a steel face at each end for shaping, expanding, and setting roves and rivets — as well flattening, shaping, and removing dents from metal. Referred to in our shop as the ultimate machinist hammer, the Baileigh Industrial ball peen has been re-engineered with threadless construction to guarantee no reverberation due to impact, easier control, and less fatigue.




 
BUILT TO LAST— Baileigh hammers deliver long-lasting performance in a wide range of uses. If you need a hammer for anything other than driving a nail, Baileigh has the tool you need.

*Steel Cannister welded to rod–more strength and safety
*Shot-Filled Cannister absorbs shock while maximizing power at impact
*Convex Faces provide maximum dead-blow, non-bounce action
*Polyurethane Coating formula prevents mushrooming, splitting and chipping for long-lasting use
*Textured Grip provides  sure-handed service – no slips, less fatigue 
*Steel Core provides strength and long- lasting durability – up to 20 times longer than other hammers

Call 920-684-4990 for more information today!"
1018022,,"ENGINEERED FOR MAXIMUM DURABILITY
Our flat - flat hammers have all of the same technology as our ball peen hjammers but feature a flat face on both sides and provide the same dead-blow durability and striking force as our other models, but have a steel face at each end for shaping, expanding, and setting roves and rivets — as well flattening, shaping, and removing dents from metal. Referred to in our shop as the ultimate machinist hammer, the Baileigh Industrial ball peen has been re-engineered with threadless construction to guarantee no reverberation due to impact, easier control, and less fatigue.




 
BUILT TO LAST— Baileigh hammers deliver long-lasting performance in a wide range of uses. If you need a hammer for anything other than driving a nail, Baileigh has the tool you need.

*Steel Cannister welded to rod–more strength and safety
*Shot-Filled Cannister absorbs shock while maximizing power at impact
*Convex Faces provide maximum dead-blow, non-bounce action
*Polyurethane Coating formula prevents mushrooming, splitting and chipping for long-lasting use
*Textured Grip provides  sure-handed service – no slips, less fatigue 
*Steel Core provides strength and long- lasting durability – up to 20 times longer than other hammers

Call 920-684-4990 for more information today!"
1018023,,"ENGINEERED FOR MAXIMUM DURABILITY
Our flat - flat hammers have all of the same technology as our ball peen hjammers but feature a flat face on both sides and provide the same dead-blow durability and striking force as our other models, but have a steel face at each end for shaping, expanding, and setting roves and rivets — as well flattening, shaping, and removing dents from metal. Referred to in our shop as the ultimate machinist hammer, the Baileigh Industrial ball peen has been re-engineered with threadless construction to guarantee no reverberation due to impact, easier control, and less fatigue.




 
BUILT TO LAST— Baileigh hammers deliver long-lasting performance in a wide range of uses. If you need a hammer for anything other than driving a nail, Baileigh has the tool you need.

*Steel Cannister welded to rod–more strength and safety
*Shot-Filled Cannister absorbs shock while maximizing power at impact
*Convex Faces provide maximum dead-blow, non-bounce action
*Polyurethane Coating formula prevents mushrooming, splitting and chipping for long-lasting use
*Textured Grip provides  sure-handed service – no slips, less fatigue 
*Steel Core provides strength and long- lasting durability – up to 20 times longer than other hammers

Call 920-684-4990 for more information today!"
1018024,,"ENGINEERED FOR MAXIMUM DURABILITY
Our flat - flat hammers have all of the same technology as our ball peen hjammers but feature a flat face on both sides and provide the same dead-blow durability and striking force as our other models, but have a steel face at each end for shaping, expanding, and setting roves and rivets — as well flattening, shaping, and removing dents from metal. Referred to in our shop as the ultimate machinist hammer, the Baileigh Industrial ball peen has been re-engineered with threadless construction to guarantee no reverberation due to impact, easier control, and less fatigue. Pick up a flat hard-face hammer from Baileigh today!




 
BUILT TO LAST— Baileigh flat industrial hammers deliver long-lasting performance in a wide range of uses. If you need a hammer for anything other than driving a nail, Baileigh has the tool you need.

*Steel Cannister welded to rod–more strength and safety
*Shot-Filled Cannister absorbs shock while maximizing power at impact
*Convex Faces provide maximum dead-blow, non-bounce action
*Polyurethane Coating formula prevents mushrooming, splitting and chipping for long-lasting use
*Textured Grip provides  sure-handed service – no slips, less fatigue 
*Steel Core provides strength and long- lasting durability – up to 20 times longer than other hammers


Order this heavy duty hammer from Baileigh Industrial today!

Call 920-684-4990 for more information today!"
1021828,BG2482-ACCESSORY TABLE KIT,"The BG-248-3 table kit contains a wider table (bar dresser), and lower table positioned for grinding on the contact wheel for implement blade sharpening, i.e. lawnmower blades.  This kit will only work on the BG-248-2 belt grinder.
Baileigh Industrial carrys many accessories as well as many styles and grits of abrasives, please contact a Baileigh sales represetative at 920-684-4990 to get the accessory  that is right for your application."
